,Description,Division,EndTime,Location,OBJECTID,Recurrence,StartTime,Title,created_date,created_user,last_edited_date,last_edited_user,Simple Location,Latitude,Longitude
297,,South Division,2016-07-10T08:30:00.000Z,"8978 Charlotte Hwy, Indian Land, SC",484,false,2016-07-10T08:00:00.000Z,Chief - Transformation Church Services,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"8978+charlotte+hwy,+Charlotte,+NC",34.9751512,-80.8530875
298,,Eastway Division,2016-07-12T19:30:00.000Z,Mayfield Memorial Baptist Church 700 W. Sugar Creek Rd. ,486,false,2016-07-12T18:30:00.000Z,Town Hall Meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"700+w.+sugar+creek+rd,+Charlotte,+NC",35.2684584,-80.7940856
299,NAACP Event at Little Rock AME Zion Church,Central Division,2016-07-13T20:00:00.000Z,401 N. McDowell St. ,489,false,2016-07-13T18:00:00.000Z,NAACP Event,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"401+n.+mcdowell+st,+Charlotte,+NC",35.2234478,-80.83159400000001
300,"<div>Steele Creek Division <br />Response Area 2<br />Officer Cruz - <a href=""mailto:acruz@cmpd.org"">acruz@cmpd.org</a><br />Officer Pressley - <a href=""mailto:gpressley@cmpd.org"">gpressley@cmpd.org</a><br />704-336-8549</div>",Steele Creek Division,2016-07-26T20:00:00.000Z,501 West Arrowood Road - Silver Mount Baptist Church ,490,true,2016-07-26T19:00:00.000Z,Deleted: British Woods Community Meeting ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"501+west+arrowood+road,+Charlotte,+NC",35.133027,-80.89835099999999
301,"National Night Out event......food, Games, and information.",Westover Division,2016-08-02T20:00:00.000Z,1520 Clanton Rd Arbor Glen Center ,495,false,2016-08-02T18:00:00.000Z,West Blvd Coalition National Night Out ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"1520+clanton+rd,+Charlotte,+NC",35.207113,-80.891826
302,,University City Division,2016-08-31T20:30:00.000Z,301 E W T Harris - library,500,false,2016-08-31T18:30:00.000Z,Community Meeting for Village at Brierfield,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"301+e+w+t+harris+-+library,+Charlotte,+NC",35.30292920000001,-80.7467008
303,<div>contact Officer James Russell 704-336-3030</div>,South Division,2016-09-06T20:30:00.000Z,10800 Foxhedge Road at the Pool area,502,false,2016-09-06T18:30:00.000Z,Deerfield Community Watch meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"10800+foxhedge+road,+Charlotte,+NC",35.052286,-80.754719
304,<div></div>,Eastway Division,2016-08-23T20:30:00.000Z,3646 Central Ave. (Christ Central Church/Project 658),503,false,2016-08-23T18:30:00.000Z,Community Safety Forum,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"3646+central+ave,+Charlotte,+NC",35.2146649,-80.7828339
305,<div>Back to School Event</div>,Hickory Grove Division,2016-09-01T12:30:00.000Z,6401 Hickory Grove Rd.,506,false,2016-09-01T11:30:00.000Z,Hickory Grove United Methodist Church,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"6401+hickory+grove+rd,+Charlotte,+NC",35.2261809,-80.721338
306,<div>CCC is a new school opening in the East Town Market.&nbsp; This is an open house for parents and students grades K-3.</div>,Hickory Grove Division,2016-09-07T20:00:00.000Z,3124 Milton Rd.,507,false,2016-09-07T18:00:00.000Z,Charlotte Choice Charter School,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"3124+milton+rd,+Charlotte,+NC",35.234822,-80.73571199999999
307,<div>CCC is a new school opening in the East Town Market.&nbsp; This is an open house for grades 4-8.</div>,Hickory Grove Division,2016-09-08T20:00:00.000Z,3124 Milton Rd.,508,false,2016-09-08T18:00:00.000Z,Charlotte Choice Charter School,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"3124+milton+rd,+Charlotte,+NC",35.234822,-80.73571199999999
308,<div>Labor Day weekend pool party for residents.</div>,Hickory Grove Division,2016-09-10T16:00:00.000Z,5710 Copper Creek Ct.,509,false,2016-09-10T12:00:00.000Z,Copper Creek Labor Day Weekend Pool Party,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"5710+copper+creek+ct.,+Charlotte,+NC",35.2045557,-80.7165954
309,<div>Bluegrass Festival:&nbsp; Officer K.A. Brown/1909 has free tickets while they last.</div>,Hickory Grove Division,2016-09-10T21:00:00.000Z,6401 Hickory Grove Rd.,510,false,2016-09-10T19:00:00.000Z,Hickory Grove United Methodist Church,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"6401+hickory+grove+rd,+Charlotte,+NC",35.2261809,-80.721338
310,<div>All officers and officers' families are invited to attend a 1030 meet and greet with refreshments immediately followed by a memorial service beginning promptly at 1111 hours to honor those who paid the ultimate sacrifice on 9/11 and for those who serve today.</div>,Hickory Grove Division,2016-09-11T10:00:00.000Z,6401 Hickory Grove Rd.,511,false,2016-09-11T10:00:00.000Z,Hickory Grove United Methodist Church 9/11 Memorial,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"6401+hickory+grove+rd,+Charlotte,+NC",35.2261809,-80.721338
311,<div>Community cookout with police presence to discuss current crime trends as well as provide crime prevention information.</div>,Hickory Grove Division,2016-09-11T18:00:00.000Z,6507 Wickville Dr.,512,false,2016-09-11T16:00:00.000Z,Chessington Community Cookout/Crime Meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"6507+wickville+dr,+Charlotte,+NC",35.2302009,-80.72344939999999
312,<div>The Hickory Grove Community Safety Forum to be held at the Hickory Grove United Methodist Church.&nbsp; The purpose of this forum is for residents to attend and have an open dialog with police.</div>,Hickory Grove Division,2016-09-13T20:30:00.000Z,6401 Hickory Grove Rd.,513,false,2016-09-13T18:30:00.000Z,Hickory Grove ComRep,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"6401+hickory+grove+rd,+Charlotte,+NC",35.2261809,-80.721338
313,Geared toward engaging and educating youth on police interactions,Central Division,2016-09-11T15:00:00.000Z,"Little Rock AME Zion Church, 401 N McDowell St, Charlotte",515,false,2016-09-11T14:00:00.000Z,LET'S TALK: a Conversation with Chief Putney,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"401+n+mcdowell+st,+Charlotte,+NC",35.2234478,-80.83159400000001
314,"<div>Join us for our Community based Comp Rep Meeting that will be attended by the Chief of Police. </div>
<div>&nbsp;</div>",Westover Division,2016-10-25T19:30:00.000Z,4800 S Tryon street (embassy suites),516,false,2016-10-25T18:30:00.000Z,CMPD Westover Com-Rep Meeting ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"4800+s+tryon+street,+Charlotte,+NC",35.1800991,-80.891087
315,<div>Contact Officer James Russell 704-336-3030</div>,South Division,2016-10-17T20:00:00.000Z,5801 Rea Road ,517,false,2016-10-17T18:00:00.000Z,Keswick HOA meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"5801+rea+road,+Charlotte,+NC",35.0865451,-80.8115699
316,<div>Contact Officer James Russell 704-336-3030</div>,South Division,2016-10-18T19:00:00.000Z,Calvary Church Banquet Room 5801 Pineville-Matthews Road,518,false,2016-10-18T18:00:00.000Z,Community Forum South Division,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"5801+pineville-matthews+road,+Charlotte,+NC",35.08526980000001,-80.8155944
317,<div>Contact Officer James Russell 704-336-3030</div>,South Division,2016-10-22T16:00:00.000Z,3323 Circles End,519,false,2016-10-22T14:00:00.000Z,Swans Run Community Event,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"3323+circle,+Charlotte,+NC",35.1079249,-80.7908617
318,Chief Putney plans to attend and contribute to the discussion,University City Division,2016-09-22T20:00:00.000Z,"Stonebridge Community Church, 3700 Prosperity Church Road",520,false,2016-09-22T18:30:00.000Z,Community Safety Forum,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"3700+prosperity+church+road,+Charlotte,+NC",35.3486834,-80.77348529999999
319,Chief Putney plans attend and contribute to the discussion,Providence Division,2016-09-29T20:00:00.000Z,"Central Church of God, 5301 Sardis Road",521,false,2016-09-29T18:30:00.000Z,Community Safety Forum,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"5301+sardis+road,+Charlotte,+NC",35.1600533,-80.7898397
320,<div>Contact Officer Beth Jackson 704-336-3014</div>,South Division,2016-10-15T20:00:00.000Z,3100 Mill Pond,523,false,2016-10-15T11:00:00.000Z,Mountainbrook Fall Festival,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"3100+mill+pond,+Charlotte,+NC",35.1364952,-80.8201759
321,<div>contact Officer Cumberworth 704-336-3014 </div>,South Division,2016-10-05T10:30:00.000Z,13820 Ballantyne Corporate Pl,524,false,2016-10-05T09:30:00.000Z,The Goddard School,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"13820+ballantyne+corporate+pl,+Charlotte,+NC",35.0623938,-80.8534335
322,<div>Contact Officer Cumberworth 704-336-3014 </div>,South Division,2016-10-17T20:00:00.000Z,11704 Silverado Ln,525,false,2016-10-17T19:00:00.000Z,Southbrook HOA,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"11704+silverado+ln,+Charlotte,+NC",35.04199699999999,-80.80745499999999
323,<div>Contact Officer Cumberworth 704-336-3014</div>,South Division,2016-10-19T20:00:00.000Z,9009 Bryant Farms Rd,526,false,2016-10-19T19:00:00.000Z,White Oak HOA,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"9009+bryant+farms+rd,+Charlotte,+NC",35.04612,-80.823302
324,<div>community meeting and dinner</div>,Independence Division,2016-10-25T20:00:00.000Z,"Cokesbury United Methodist Church,6710 Idlewild Road",533,false,2016-10-25T19:00:00.000Z,Easthaven neighborhood community meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"6710+idlewild+road,+Charlotte,+NC",35.1846468,-80.7485717
325,<div>annual HOA meeting for Morris Farms neighborhood</div>,Independence Division,2016-11-07T20:00:00.000Z,Throne of Grace Church  7200 Albemarle Road,534,false,2016-11-07T19:00:00.000Z,Morris Farms HOA annual meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"7200+albemarle+road,+Charlotte,+NC",35.2032958,-80.7211818
326,<div>Contact Officer Beth Jackson 704-336-3030</div>,South Division,2016-11-14T20:00:00.000Z,6411 Sharon Rd at Sharon Baptist Church,539,false,2016-11-14T19:00:00.000Z,Olde Georgetown Meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"6411+sharon+rd,+Charlotte,+NC",35.1278031,-80.84608050000001
327,<div>Contact Officer Beth Jackson 704-336-3030</div>,South Division,2016-11-16T16:00:00.000Z,5800 Old Providence Rd,540,false,2016-11-16T15:00:00.000Z,Carriage Club Town Hall Meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"5800+old+providence+rd,+Charlotte,+NC",35.1346297,-80.78682359999999
328,"The Charlotte-Mecklenburg Police Department is scheduled for an on-site assessment as part of a program to achieve re-accreditation by verifying it meets professional standards.
Administered by the Commission on Accreditation for Law Enforcement Agencies, Inc. (CALEA), the accreditation program requires agencies to comply with state-of-the-art standards in four basic areas: policy and procedures, administration, operations, and support services.
Agency employees and the public are invited to offer comments by calling 704-336-8980 or 704-336-8993 on Monday, November 14, 2016 from 3:00PM to 5:00PM. Comments will be taken by the Assessment team.
Also, as part of the on-site assessment, agency employees and members of the community are invited to offer comments at a public information session on Monday, November 14, 2016 at 7:00PM at Johnson C. Smith University 100 Beatties Ford Rd Charlotte, NC 28216.
For further information or questions, please contact Sergeant J.F. Gallant at 704-353-1139.
Anyone wishing to submit written comments about the Charlotte-Mecklenburg Police Department’s ability to comply with the standards for accreditation may send them to the Commission on Accreditation for Law Enforcement Inc. (CALEA) 13575 Heathcote Blvd, Suite 320 Gainesville, Virginia, 20155.",Metro Division,2016-11-14T20:00:00.000Z,"Johnson C Smith University, 100 Beatties Ford Road",543,false,2016-11-14T19:00:00.000Z,Public Information Session re: CMPD Accreditation with CALEA,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"100+beatties+ford+road,+Charlotte,+NC",35.243588,-80.8569359
329,"<div>Sat, Oct 29 from 5-8 in the 300 Ridgewood Block.</div>",Providence Division,2016-10-29T20:00:00.000Z,300 Ridgewood Dr,544,false,2016-10-29T17:00:00.000Z,Poplar Gables Block Party,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"300+ridgewood+dr,+Charlotte,+NC",35.1792767,-80.84169279999999
330,<div>Block Party at 300 Hillside Dr</div>,Providence Division,2016-10-31T20:00:00.000Z,300 Hillside Dr,545,false,2016-10-31T17:00:00.000Z,Poplar Gables Halloween Party,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"300+hillside+dr,+Charlotte,+NC",35.178086,-80.84239099999999
331,<div>*Meeting open to Eastover residents only* </div>,Providence Division,2016-11-22T19:30:00.000Z,Westminster Presbyterian Church - 101 Colville Rd ,546,true,2016-11-22T18:30:00.000Z,Deleted: Eastover Neighborhood Meeting ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"101+colville+rd,+Charlotte,+NC",35.2035205,-80.8180982
332,<div></div>,Providence Division,2016-11-02T20:00:00.000Z,735 Colville Rd. ,547,true,2016-11-02T19:00:00.000Z,Eastover HOA Board Meeting ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"735+colville+rd,+Charlotte,+NC",35.1916354,-80.8182929
333,<div>Contact Officer James Russell 704-336-3014</div>,South Division,2016-11-16T20:00:00.000Z,City BBQ  11212 Providence Rd West,549,false,2016-11-16T18:00:00.000Z,BBQ with Cops,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"11212+providence+rd,+Charlotte,+NC",35.0564345,-80.7712427
334,<div>Contact Officer James Russell 704-336-3014</div>,South Division,2016-11-18T21:30:00.000Z,4330 Weddington Road (Col. Beatty Park),550,false,2016-11-18T19:30:00.000Z,HearthStone HOA meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"4330+weddington+road,+Charlotte,+NC",35.0676201,-80.7286912
335,<div>Contact Officer Cumberworth 704-336-3014</div>,South Division,2016-11-07T20:00:00.000Z,8620 Bella Reese Rd,551,false,2016-11-07T19:00:00.000Z,Camden Stonecrest Safety Meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"8620+bella+reese+rd,+Charlotte,+NC",35.051342,-80.811605
336,<div>Contact Officer Cumberworth 704-336-3014</div>,South Division,2016-11-15T20:00:00.000Z,13901 Summit Commons Bv,552,false,2016-11-15T19:00:00.000Z,Camden Ballantyne Safety Meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"13901+summit+commons+bv,+Charlotte,+NC",35.053832,-80.84209
337,<div></div>,Eastway Division,2016-11-05T19:00:00.000Z,4030 Shamrock Dr,554,false,2016-11-05T17:00:00.000Z,Latino Community Safety meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"4030+shamrock+dr,+Charlotte,+NC",35.2323741,-80.7564252
338,<div>Centro Comunitario Camino</div>,University City Division,2016-11-12T13:00:00.000Z,201 Stetson Dr.,555,false,2016-11-12T09:00:00.000Z,Latino Community Meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"201+stetson+dr,+Charlotte,+NC",35.2885739,-80.76181799999999
339,"<div>Officer Figaro</div>
<div>704-432-3900</div>",University City Division,2016-11-21T19:00:00.000Z,"9740 Ashley Lake Court | Charlotte, NC 28262",557,false,2016-11-21T18:00:00.000Z,Ashley Court Community Meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"9740+ashley+lake+court+|+charlotte,+nc+28262,+Charlotte,+NC",35.3234939,-80.74413899999999
340,"<div>Officer Figaro</div>
<div>704-432-3900</div>",University City Division,2016-11-15T20:00:00.000Z,"14015 Mallard Roost Rd, 28262",558,false,2016-11-15T19:00:00.000Z,Withrow Downs II Community Meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"14015+mallard+roost+rd,+Charlotte,+NC",35.3483692,-80.72516639999999
341,<div>contact Officer Cumberworth 704-336-3014</div>,Steele Creek Division,2016-12-01T20:00:00.000Z,South Mecklenburg Presbyterian 8601 Bryant Farms Lane,561,false,2016-12-01T19:00:00.000Z,Ashton Grove HOA,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"8601+bryant+farms+lane,+Charlotte,+NC",35.0462877,-80.8176033
342,<div>Contact Officer Cumberworth 704-336-3014</div>,South Division,2016-12-03T12:30:00.000Z,Providence Pointe Clubhouse 15440 Prescott Hill ,562,false,2016-12-03T08:30:00.000Z,Providence Pointe Neighborhood Event,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"15440+prescott+hill+,+Charlotte,+NC",35.035417,-80.862073
343,<div>contact Officer Cumberworth 704-336-3014</div>,South Division,2016-12-05T19:30:00.000Z,Harrison United Methodist Church 15008 Lancaster Hwy,563,false,2016-12-05T18:30:00.000Z,Ardrey Community meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"15008+lancaster+hwy,+Charlotte,+NC",35.0425085,-80.8634611
344,<div>Contact Officer Cumberworth 704-336-3014</div>,South Division,2016-12-10T10:00:00.000Z,Ballantyne Resort 10000 Ballantyne Commons Pkwy,564,false,2016-12-10T09:00:00.000Z,Ballantyne Breakfast Club,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"10000+ballantyne+commons+pkwy,+Charlotte,+NC",35.056435,-80.8480944
345,<div>contact Officer Beth Jackson 704-336-3014</div>,South Division,2017-01-28T17:30:00.000Z,1225 East Barden Road,565,false,2017-01-28T15:30:00.000Z,Old Salem Community Chili Cook Off,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"1225+east+barden+road,+Charlotte,+NC",35.1445392,-80.7893471
346,"<div>Officer Figaro</div>
<div>704-432-3900</div>",University City Division,2017-01-24T20:30:00.000Z,"Crosspoint Worship Center 9116 University City Blvd, Charlotte, NC 28213",566,false,2017-01-24T19:00:00.000Z,College Downs HOA Meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"9116+university+city+blvd,+Charlotte,+NC",35.301348,-80.7299736
347,<div></div>,Hickory Grove Division,2017-01-24T20:00:00.000Z,6709 Pence Rd. (Park & Rec),567,false,2017-01-24T19:00:00.000Z,Ravenwood Community Meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"6709+pence+rd,+Charlotte,+NC",35.2264818,-80.7171971
348,<div>Contact Officer Colin Cumberworth 704-336-3014</div>,South Division,2017-01-18T20:00:00.000Z,South Meck Presbyterian Church 8601 Bryant Farms Rd,568,false,2017-01-18T19:00:00.000Z,Reaburn HOA meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"8601+bryant+farms+rd,+Charlotte,+NC",35.0462877,-80.8176033
349,<div>Contact Officer Colin Cumberworth 704-336-3014</div>,South Division,2017-01-14T12:00:00.000Z,Publix Supermarket 11222 Providence Road West ,569,false,2017-01-14T10:00:00.000Z,Special Olympics Fundraiser,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"11222+providence+road,+Charlotte,+NC",35.0566242,-80.7698395
350,<div>Contact Officer&nbsp; Colin Cumberworth 704-336-3014</div>,South Division,2017-01-21T12:00:00.000Z,Publix Supermarket 11222 Providence Road West,570,false,2017-01-21T10:00:00.000Z,Special Olympics Fundraiser,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"11222+providence+road,+Charlotte,+NC",35.0566242,-80.7698395
351,<div>Annual Meeting </div>,Providence Division,2017-02-16T20:00:00.000Z,AG Middle School Cafeteria- 1800 Runnymede Ln,577,false,2017-02-16T19:00:00.000Z,Barclay Downs HOA/ Neighborhood Watch Meeting ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"1800+runnymede+ln,+Charlotte,+NC",35.1665466,-80.8305144
352,<div>*Meeting open to Eastover residents only* </div>,Providence Division,2017-01-24T19:30:00.000Z,Westminster Presbyterian Church - 101 Colville Rd ,578,true,2017-01-24T18:30:00.000Z,Deleted: Eastover Neighborhood Meeting ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"101+colville+rd,+Charlotte,+NC",35.2035205,-80.8180982
353,<div></div>,Providence Division,2017-01-04T20:00:00.000Z,735 Colville Rd. ,579,true,2017-01-04T19:00:00.000Z,Deleted: Eastover HOA Board Meeting ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"735+colville+rd,+Charlotte,+NC",35.1916354,-80.8182929
354,<div></div>,Providence Division,2017-02-01T20:00:00.000Z,735 Colville Rd. ,580,true,2017-02-01T19:00:00.000Z,Deleted: Eastover HOA Board Meeting ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"735+colville+rd,+Charlotte,+NC",35.1916354,-80.8182929
355,<div>*Meeting open to Eastover residents only* </div>,Providence Division,2017-02-28T19:30:00.000Z,Westminster Presbyterian Church - 101 Colville Rd ,581,true,2017-02-28T18:30:00.000Z,Deleted: Eastover Neighborhood Meeting ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"101+colville+rd,+Charlotte,+NC",35.2035205,-80.8180982
356,<div></div>,Providence Division,2017-02-27T20:30:00.000Z,Pleasant Hill Baptist 517 Baldwind Ave. ,582,false,2017-02-27T18:30:00.000Z,Cherry Neighborhood Meeting ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"517+baldwind+ave,+Charlotte,+NC",35.2089685,-80.8320698
357,"<div>February is Teen Dating Violence Awareness Month. The CMPD Domestic Violence Unit is partnering with Meck. County Community Support Services to host this main event for awareness of the issue. The event is free and open to all teens, youth, and family. There will be free food, a DJ, raffle prizes, and resources.</div>",Central Division,2017-02-11T19:00:00.000Z,Club Label 900 Music Factory Blvd.,585,false,2017-02-11T16:00:00.000Z,Forward4Love Youth Event,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"900+music+factory+blvd,+Charlotte,+NC",35.2390826,-80.8449816
358,<div>Contact Officer Beth Jackson 704-336-3014</div>,South Division,2017-02-08T20:00:00.000Z,South Division 8050 Corporate Center Drive,591,false,2017-02-08T19:00:00.000Z,Response Area 1 Community Advisory Meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"8050+corporate+center+drive,+Charlotte,+NC",35.0862004,-80.85641700000001
359,<div>Contact Officer Colin Cumberworth 704-336-3014</div>,South Division,2017-02-13T19:00:00.000Z,Harrison United Methodist Church 15008 Lancaster Hwy,592,false,2017-02-13T18:00:00.000Z,Bridlestone HOA,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"15008+lancaster+hwy,+Charlotte,+NC",35.0425085,-80.8634611
360,<div>Contact Officer Colin Cumberworth 704-336-3014</div>,South Division,2017-02-15T20:00:00.000Z,South Division Team Office 8050 Corporate Center Drive,593,false,2017-02-15T19:00:00.000Z,Neighborhood Advisory Council,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"8050+corporate+center+drive,+Charlotte,+NC",35.0862004,-80.85641700000001
361,<div>Contact Officer Colin Cumberworth 704-336-3014</div>,South Division,2017-02-15T20:00:00.000Z,Living Savior Church  6817 Carmel Road,594,false,2017-02-15T19:00:00.000Z,Renaissance on Carmel HOA,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"6817+carmel+road,+Charlotte,+NC",35.0824166,-80.8469904
362,<div>Contact Officer Colin Cumberworth 704-336-3014</div>,South Division,2017-02-18T11:00:00.000Z,Ballantyne Resort 10000 Ballantyne Commons Parkway,595,false,2017-02-18T09:00:00.000Z,Ballantyne Breakfast Club,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"10000+ballantyne+commons+parkway,+Charlotte,+NC",35.056435,-80.8480944
363,<div>Contact Officer Colin Cumberworth 704-336-3014</div>,South Division,2017-02-21T20:30:00.000Z,Belle Johnston Community Center 1000 Johnston Drive-Pineville,596,false,2017-02-21T18:30:00.000Z,Cardinal Woods HOA,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"1000+johnston+drive,+Charlotte,+NC",35.0785997,-80.89286810000002
364,<div>Contact Officer Colin Cumberworth 704-336-3014</div>,South Division,2017-02-22T20:00:00.000Z,South Mecklenburg Presbyterian 8601 Bryant Farms Road,597,false,2017-02-22T19:00:00.000Z,Hunters Gate HOA,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"8601+bryant+farms+road,+Charlotte,+NC",35.0462877,-80.8176033
365,"<div>Managers meeting with police to discuss crime trends, prevention tips and Q&amp;A with officers</div>",Hickory Grove Division,2017-03-17T10:00:00.000Z,6320 Woodbend Dr,598,false,2017-03-17T09:00:00.000Z,Apartment managers meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"6320+woodbend+dr,+Charlotte,+NC",35.199743,-80.73778
